编号;活动类型;活动名称;起始时间;结束时间;活动参数;奖励参数1;奖励物品列表1;奖励参数2;奖励物品列表2;奖励参数3;奖励物品列表3;奖励参数4;奖励物品列表4;奖励参数5;奖励物品列表5;奖励参数6;奖励物品列表6;奖励参数7;奖励物品列表7;奖励参数8;奖励物品列表8;奖励参数9;奖励物品列表9;奖励参数10;奖励物品列表10;奖励参数11;奖励物品列表11
id;activity_type;activity_name;start_time;end_time;activity_param1;reward_condition1;reward_item1;reward_condition2;reward_item2;reward_condition3;reward_item3;reward_condition4;reward_item4;reward_condition5;reward_item5;reward_condition6;reward_item6;reward_condition7;reward_item7;reward_condition8;reward_item8;reward_condition9;reward_item9;reward_condition10;reward_item10;reward_condition11;reward_item11
1;1;累计充值;2017/08/22 00:00:00;2017/08/22 23:59:59;0;6;100000:2000,20003:1;30;453:1,20003:4;60;453:1,5:1,20003:5;128;453:1,5:1,20003:8;188;453:1,4:1,20305:1;288;456:1,4:1,20305:1;388;456:1,4:1,20305:1;648;456:1,4:1,20305:1;988;459:1,6:1,20305:1;1588;459:2,6:1,20305:2;2888;459:2,6:1,20305:4
2;1;累计充值;2017/08/23 00:00:00;2017/08/23 23:59:59;0;6;100000:2000,20209:10;30;452:1,20209:40;60;452:1,5:1,20209:50;128;452:1,5:1,20209:80;188;452:1,4:1,20002:1;288;455:1,4:1,20002:1;388;455:1,4:1,20002:1;648;455:1,4:1,20002:1;988;458:1,6:1,20002:1;1588;458:2,6:1,20002:2;2888;458:2,6:1,20002:4
3;1;累计充值;2017/08/24 00:00:00;2017/08/24 23:59:59;0;6;100000:2000,20108:1;30;451:1,20108:4;60;451:1,5:1,20108:5;128;451:1,5:1,20108:8;188;451:1,4:1,20102:1;288;454:1,4:1,20102:1;388;454:1,4:1,20102:1;648;454:1,4:1,20102:1;988;457:1,6:1,20102:1;1588;457:2,6:1,20102:2;2888;457:2,6:1,20102:4
4;1;累计充值;2017/08/25 00:00:00;2017/08/25 23:59:59;0;6;100000:2000,20303:1;30;451:1,20303:4;60;451:1,5:1,20303:5;128;451:1,5:1,20303:8;188;451:1,4:1,20401:1;288;454:1,4:1,20401:1;388;454:1,4:1,20401:1;648;454:1,4:1,20401:1;988;457:1,6:1,20401:1;1588;457:2,6:1,20401:2;2888;457:2,6:1,20401:4
5;1;累计充值;2017/08/26 00:00:00;2017/08/26 23:59:59;0;6;100000:2000,20208:1;30;453:1,20208:4;60;453:1,5:1,20208:5;128;453:1,5:1,20208:8;188;453:1,4:1,20001:1;288;456:1,4:1,20001:1;388;456:1,4:1,20001:1;648;456:1,4:1,20001:1;988;459:1,6:1,20001:1;1588;459:2,6:1,20001:2;2888;459:2,6:1,20001:4
6;1;累计充值;2017/08/27 00:00:00;2017/08/27 23:59:59;0;6;100000:2000,20204:10;30;452:1,20204:40;60;452:1,5:1,20204:50;128;452:1,5:1,20204:80;188;452:1,4:1,20310:1;288;455:1,4:1,20310:1;388;455:1,4:1,20310:1;648;455:1,4:1,20310:1;988;458:1,6:1,20310:1;1588;458:2,6:1,20310:2;2888;458:2,6:1,20310:4
7;1;累计充值;2017/08/28 00:00:00;2017/08/28 23:59:59;0;6;100000:2000,20109:10;30;452:1,20109:40;60;452:1,5:1,20109:50;128;452:1,5:1,20109:80;188;452:1,4:1,20305:1;288;455:1,4:1,20305:1;388;455:1,4:1,20305:1;648;455:1,4:1,20305:1;988;458:1,6:1,20305:1;1588;458:2,6:1,20305:2;2888;458:2,6:1,20305:4
8;1;累计充值;2017/08/29 00:00:00;2017/08/29 23:59:59;0;6;100000:2000,20306:10;30;452:1,20306:40;60;452:1,5:1,20306:50;128;452:1,5:1,20306:80;188;452:1,4:1,20002:1;288;455:1,4:1,20002:1;388;455:1,4:1,20002:1;648;455:1,4:1,20002:1;988;458:1,6:1,20002:1;1588;458:2,6:1,20002:2;2888;458:2,6:1,20002:4
9;1;累计充值;2017/08/30 00:00:00;2017/08/30 23:59:59;0;6;100000:2000,20103:1;30;451:1,20103:4;60;451:1,5:1,20103:5;128;451:1,5:1,20103:8;188;451:1,4:1,20102:1;288;454:1,4:1,20102:1;388;454:1,4:1,20102:1;648;454:1,4:1,20102:1;988;457:1,6:1,20102:1;1588;457:2,6:1,20102:2;2888;457:2,6:1,20102:4
10;1;累计充值;2017/08/31 00:00:00;2017/08/31 23:59:59;0;6;100000:2000,20104:1;30;451:1,20104:4;60;451:1,5:1,20104:5;128;451:1,5:1,20104:8;188;451:1,4:1,20401:1;288;454:1,4:1,20401:1;388;454:1,4:1,20401:1;648;454:1,4:1,20401:1;988;457:1,6:1,20401:1;1588;457:2,6:1,20401:2;2888;457:2,6:1,20401:4
11;1;累计充值;2017/09/01 00:00:00;2017/09/01 23:59:59;0;6;100000:2000,20009:1;30;451:1,20009:4;60;451:1,5:1,20009:5;128;451:1,5:1,20009:8;188;451:1,4:1,20001:1;288;454:1,4:1,20001:1;388;454:1,4:1,20001:1;648;454:1,4:1,20001:1;988;457:1,6:1,20001:1;1588;457:2,6:1,20001:2;2888;457:2,6:1,20001:4
12;1;累计充值;2017/09/02 00:00:00;2017/09/02 23:59:59;0;6;100000:2000,20308:1;30;451:1,20308:4;60;451:1,5:1,20308:5;128;451:1,5:1,20308:8;188;451:1,4:1,20310:1;288;454:1,4:1,20310:1;388;454:1,4:1,20310:1;648;454:1,4:1,20310:1;988;457:1,6:1,20310:1;1588;457:2,6:1,20310:2;2888;457:2,6:1,20310:4
13;1;累计充值;2017/09/03 00:00:00;2017/09/03 23:59:59;0;6;100000:2000,20003:1;30;453:1,20003:4;60;453:1,5:1,20003:5;128;453:1,5:1,20003:8;188;453:1,4:1,20305:1;288;456:1,4:1,20305:1;388;456:1,4:1,20305:1;648;456:1,4:1,20305:1;988;459:1,6:1,20305:1;1588;459:2,6:1,20305:2;2888;459:2,6:1,20305:4
14;2;每日充值;2017/08/20 00:00:00;2017/08/22 23:59:59;6;1;100001:80,20009:2;2;100001:160,20308:2;3;100001:240,20003:2;;;;;;;;;;;;;;;;
15;2;每日充值;2017/08/23 00:00:00;2017/08/25 23:59:59;6;1;100001:80,20209:10;2;100001:160,20108:2;3;100001:240,20303:2;;;;;;;;;;;;;;;;
16;2;每日充值;2017/08/26 00:00:00;2017/08/28 23:59:59;6;1;100001:80,20208:2;2;100001:160,20204:10;3;100001:240,20109:10;;;;;;;;;;;;;;;;
17;2;每日充值;2017/08/29 00:00:00;2017/08/31 23:59:59;6;1;100001:80,20306:10;2;100001:160,20103:2;3;100001:240,20104:2;;;;;;;;;;;;;;;;
18;2;每日充值;2017/09/01 00:00:00;2017/09/03 23:59:59;6;1;100001:80,20009:2;2;100001:160,20308:2;3;100001:240,20003:2;;;;;;;;;;;;;;;;
