编号;文字
id;word
1;毛泽东
2;周恩来
3;刘少奇
4;朱德
5;彭德怀
6;林彪
7;刘伯承
8;陈毅
9;贺龙
10;聂荣臻
11;徐向前
12;罗荣桓
13;叶剑英
14;李大钊
15;陈独秀
16;孙中山
17;孙文
18;孙逸仙
19;邓小平
20;陈云
21;江泽民
22;李鹏
23;朱镕基
24;李瑞环
25;尉健行
26;李岚清
27;胡锦涛
28;罗干
29;温家宝
30;吴邦国
31;曾庆红
32;贾庆林
33;黄菊
34;吴官正
35;李长春
36;吴仪
37;回良玉
38;曾培炎
39;曹刚川
40;唐家璇
41;华建敏
42;陈至立
43;张德江
44;俞正声
45;王乐泉
46;刘云山
47;王刚
48;王兆国
49;刘淇
50;贺国强
51;郭伯雄
52;胡耀邦
53;王兆国
54;习近平
55;李克强
56;张高丽
57;刘延东
58;彭丽媛
59;王岐山
60;华国锋
61;习大大
62;吴帮国
63;无帮国
64;无邦国
65;无帮过
66;瘟家宝
67;假庆林
68;甲庆林
69;假青林
70;离长春
71;习远平
72;袭近平
73;李磕墙
74;贺过墙
75;和锅枪
76;胡主席
77;习主席
78;毛主席
79;胡启立
80;马国瑞
81;布什
82;布莱尔
83;小泉
84;纯一郎
85;萨马兰奇
86;安南
87;阿拉法特
88;普京
89;默克尔
90;克林顿
91;里根
92;尼克松
93;林肯
94;杜鲁门
95;赫鲁晓夫
96;列宁
97;斯大林
98;马克思
99;恩格斯
100;金正日
101;金日成
102;萨达姆
103;胡志明
104;西哈努克
105;希拉克
106;撒切尔
107;阿罗约
108;曼德拉
109;卡斯特罗
110;富兰克林
111;华盛顿
112;艾森豪威尔
113;拿破仑
114;亚历山大
115;路易
116;拉姆斯菲尔德
117;劳拉
118;鲍威尔
119;奥巴马
120;梅德韦杰夫
121;金正恩
122;安倍晋三
123;特朗普
124;希拉里
125;本拉登
126;奥马尔
127;柴玲
128;达赖
129;达赖喇嘛
130;江青
131;张春桥
132;姚文元
133;王洪文
134;东条英机
135;希特勒
136;墨索里尼
137;冈村秀树
138;冈村宁次
139;高丽朴
140;赵紫阳
141;王丹
142;沃尔开西
143;李洪志
144;李大师
145;赖昌星
146;马加爵
147;班禅
148;额尔德尼
149;山本五十六
150;阿扁
151;阿扁万岁
152;热那亚
153;薄熙来
154;周永康
155;王立军
156;令计划
157;默罕默德
158;徐才厚
159;粥永康
160;轴永康
161;肘永康
162;周健康
163;粥健康
164;周小康
165;陈良宇
166;李登辉
167;连战
168;宋楚瑜
169;吕秀莲
170;郁慕明
171;蒋介石
172;蒋中正
173;蒋经国
174;马英九
175;新疆势力
176;法。轮。功
177;吴德
178;李贵鲜
179;卢福坦
180;李继耐
181;祁培文
182;邱会作
183;刘澜涛
184;国民政府
185;西藏流亡政府
186;六四
187;六四运动
188;东方闪电
189;茉莉花
190;美国之音
191;密宗
192;民国
193;民进党
194;民运
195;民主
196;民主潮
197;摩门教
198;纳粹
199;南华早报
200;南蛮
201;明慧网
202;起义
203;亲民党
204;瘸腿帮
205;人民报
206;法轮功
207;法轮大法
208;打倒共产党
209;台独万岁
210;圣战
211;示威
212;台独
213;台独
214;台独分子
215;台联
216;台湾民国
217;台湾岛国
218;台湾国
219;台湾独立
220;太子党
221;天安门事件
222;屠杀
223;小泉
224;新党
225;新疆分裂
226;新疆国
227;疆独
228;西藏独立
229;西藏分裂
230;西藏国
231;藏独
232;藏青会
233;藏妇会
234;学潮
235;学运
236;一党专政
237;一中一台
238;两个中国
239;一贯道
240;游行
241;圆满
242;造反
243;真善忍
244;镇压
245;政变
246;改革
247;政治
248;政治反对派
249;政治犯
250;中共
251;共产党
252;反党
253;反共
254;政府
255;民主党
256;中国之春
257;转法轮
258;共党
259;共匪
260;苏家屯
261;基地组织
262;塔利班
263;东亚病夫
264;支那
265;高治联
266;高自联
267;专政
268;专制
269;四人帮
270;新闻管制
271;核工业基地
272;核武器
273;铀
274;原子弹
275;氢弹
276;导弹
277;核潜艇
278;大参考
279;小参考
280;国内动态清样
281;东突
282;中央电视台
283;雪山狮子旗
284;占领中环
285;两国论
286;一边一国
287;赤匪
288;占中
289;港独
290;主权
291;国共
292;新四军
293;中共共产党
294;国军
295;政治打击
296;共军
297;政治压迫
298;大跃进
299;武力统一
300;政治迫害
301;超英赶美
302;言论自由
303;中国人民解放军
304;国共合作
305;国民政府
306;国务院
307;和平演变
308;中共中央
309;八九港独
310;ISIS七五事件
311;卖黑火药
312;四人帮三个代表
313;民警冲突
314;负面删帖
315;强行拘留
316;道教
317;多维
318;佛教
319;佛祖
320;释迦牟尼
321;如来
322;阿弥陀佛
323;观世音
324;普贤
325;文殊
326;地藏
327;河殇
328;回教
329;密宗
330;摩门教
331;穆罕默德
332;穆斯林
333;升天
334;圣母
335;圣战
336;耶和华
337;耶稣
338;伊斯兰
339;真主安拉
340;白莲教
341;天主教
342;基督教
343;东正教
344;大法
345;法轮
346;法轮功
347;瘸腿帮
348;真理教
349;真善忍
350;转法轮
351;自焚
352;走向圆满
353;黄大仙
354;风水
355;跳大神
356;神汉
357;神婆
358;真理教
359;大卫教
360;阎王
361;黑白无常
362;牛头马面
363;高丽棒子
364;回回
365;蒙古鞑子
366;台独
367;台独分子
368;台联
369;台湾民国
370;南蛮
371;老毛子
372;回民吃猪肉
373;蒙古独立
374;全能神
375;政治避难
376;浮夸风
377;谋杀
378;杀人
379;吸毒
380;贩毒
381;赌博
